# 2d Ising model
# L = 5
# method = exact
# beta 	 e 	 m 	 |m|
0.000000e+00	-3.870883e-14	-6.897495e-19	1.611803e-01
1.000000e-02	-8.000034e-04	-1.271714e-18	1.613100e-01
2.000000e-02	-1.600027e-03	2.441195e-18	1.614412e-01
3.000000e-02	-2.400092e-03	1.677132e-18	1.615739e-01
4.000000e-02	-3.200218e-03	4.564052e-19	1.617081e-01
5.000000e-02	-4.000427e-03	-4.727701e-19	1.618438e-01
6.000000e-02	-4.800737e-03	-3.250687e-19	1.619811e-01
7.000000e-02	-5.601171e-03	-1.110857e-18	1.621199e-01
8.000000e-02	-6.401748e-03	5.943326e-19	1.622602e-01
9.000000e-02	-7.202489e-03	-1.439003e-18	1.624021e-01
1.000000e-01	-8.003415e-03	1.231109e-18	1.625455e-01
1.100000e-01	-8.804545e-03	1.776784e-19	1.626904e-01
1.200000e-01	-9.605901e-03	-4.319167e-18	1.628369e-01
1.300000e-01	-1.040750e-02	3.838118e-19	1.629849e-01
1.400000e-01	-1.120937e-02	-2.219769e-18	1.631345e-01
1.500000e-01	-1.201153e-02	-3.252011e-19	1.632856e-01
1.600000e-01	-1.281399e-02	-1.603738e-19	1.634383e-01
1.700000e-01	-1.361678e-02	-2.141326e-18	1.635926e-01
1.800000e-01	-1.441993e-02	4.734385e-19	1.637485e-01
1.900000e-01	-1.522344e-02	1.600363e-19	1.639059e-01
2.000000e-01	-1.602734e-02	1.689645e-18	1.640649e-01
2.100000e-01	-1.683165e-02	-2.073649e-18	1.642255e-01
2.200000e-01	-1.763640e-02	-2.620012e-18	1.643877e-01
2.300000e-01	-1.844159e-02	1.963879e-18	1.645514e-01
2.400000e-01	-1.924726e-02	1.088173e-19	1.647168e-01
2.500000e-01	-2.005343e-02	3.351339e-19	1.648838e-01
2.600000e-01	-2.086011e-02	-9.988040e-19	1.650524e-01
2.700000e-01	-2.166732e-02	-1.902277e-18	1.652226e-01
2.800000e-01	-2.247509e-02	8.367097e-20	1.653944e-01
2.900000e-01	-2.328344e-02	-7.942515e-18	1.655679e-01
3.000000e-01	-2.409239e-02	1.948249e-18	1.657430e-01
3.100000e-01	-2.490196e-02	1.452655e-18	1.659197e-01
3.200000e-01	-2.571216e-02	9.512881e-18	1.660981e-01
3.300000e-01	-2.652303e-02	-3.068972e-19	1.662781e-01
3.400000e-01	-2.733458e-02	2.697529e-18	1.664597e-01
3.500000e-01	-2.814683e-02	1.707698e-19	1.666430e-01
3.600000e-01	-2.895981e-02	-7.414185e-20	1.668280e-01
3.700000e-01	-2.977353e-02	-1.257579e-18	1.670146e-01
3.800000e-01	-3.058802e-02	3.766120e-19	1.672030e-01
3.900000e-01	-3.140329e-02	-2.141048e-18	1.673929e-01
4.000000e-01	-3.221938e-02	-1.130749e-18	1.675846e-01
4.100000e-01	-3.303629e-02	7.825129e-19	1.677780e-01
4.200000e-01	-3.385406e-02	1.852607e-18	1.679730e-01
4.300000e-01	-3.467270e-02	-2.360310e-19	1.681698e-01
4.400000e-01	-3.549223e-02	8.604002e-19	1.683683e-01
4.500000e-01	-3.631268e-02	-6.160841e-19	1.685685e-01
4.600000e-01	-3.713407e-02	1.879487e-19	1.687704e-01
4.700000e-01	-3.795642e-02	1.933988e-18	1.689740e-01
4.800000e-01	-3.877974e-02	-3.030234e-18	1.691793e-01
4.900000e-01	-3.960407e-02	8.859303e-19	1.693864e-01
5.000000e-01	-4.042942e-02	-1.837400e-19	1.695953e-01
5.100000e-01	-4.125581e-02	1.136784e-18	1.698059e-01
5.200000e-01	-4.208328e-02	4.857469e-19	1.700182e-01
5.300000e-01	-4.291183e-02	2.077534e-18	1.702323e-01
5.400000e-01	-4.374149e-02	-7.565460e-19	1.704482e-01
5.500000e-01	-4.457228e-02	2.098789e-19	1.706658e-01
5.600000e-01	-4.540423e-02	2.961267e-18	1.708853e-01
5.700000e-01	-4.623735e-02	1.499513e-18	1.711065e-01
5.800000e-01	-4.707168e-02	-2.333443e-19	1.713295e-01
5.900000e-01	-4.790722e-02	9.203145e-19	1.715543e-01
6.000000e-01	-4.874401e-02	-9.626926e-19	1.717809e-01
6.100000e-01	-4.958206e-02	1.301400e-18	1.720094e-01
6.200000e-01	-5.042140e-02	1.800673e-18	1.722396e-01
6.300000e-01	-5.126205e-02	2.987512e-19	1.724717e-01
6.400000e-01	-5.210403e-02	-1.367548e-18	1.727056e-01
6.500000e-01	-5.294736e-02	8.433669e-19	1.729414e-01
6.600000e-01	-5.379207e-02	-4.872663e-18	1.731790e-01
6.700000e-01	-5.463818e-02	2.081689e-18	1.734185e-01
6.800000e-01	-5.548572e-02	-3.107552e-19	1.736599e-01
6.900000e-01	-5.633470e-02	-3.078435e-20	1.739031e-01
7.000000e-01	-5.718515e-02	-2.271822e-18	1.741482e-01
7.100000e-01	-5.803708e-02	-1.965063e-18	1.743951e-01
7.200000e-01	-5.889054e-02	9.108251e-20	1.746440e-01
7.300000e-01	-5.974552e-02	7.287395e-19	1.748948e-01
7.400000e-01	-6.060207e-02	4.630623e-19	1.751475e-01
7.500000e-01	-6.146020e-02	2.107259e-19	1.754021e-01
7.600000e-01	-6.231994e-02	2.035500e-18	1.756586e-01
7.700000e-01	-6.318131e-02	-1.923744e-18	1.759171e-01
7.800000e-01	-6.404433e-02	1.096590e-18	1.761775e-01
7.900000e-01	-6.490903e-02	-6.345600e-19	1.764399e-01
8.000000e-01	-6.577543e-02	2.684300e-18	1.767042e-01
8.100000e-01	-6.664355e-02	-1.352341e-19	1.769705e-01
8.200000e-01	-6.751342e-02	1.207869e-18	1.772387e-01
8.300000e-01	-6.838506e-02	-1.628553e-18	1.775090e-01
8.400000e-01	-6.925849e-02	-6.382923e-19	1.777812e-01
8.500000e-01	-7.013375e-02	-2.100906e-18	1.780554e-01
8.600000e-01	-7.101085e-02	7.356216e-19	1.783317e-01
8.700000e-01	-7.188981e-02	8.044140e-18	1.786099e-01
8.800000e-01	-7.277067e-02	-5.512596e-19	1.788902e-01
8.900000e-01	-7.365344e-02	3.040954e-18	1.791725e-01
9.000000e-01	-7.453815e-02	-1.371902e-18	1.794569e-01
9.100000e-01	-7.542483e-02	7.940802e-18	1.797433e-01
9.200000e-01	-7.631350e-02	-2.494951e-17	1.800317e-01
9.300000e-01	-7.720418e-02	-1.376031e-17	1.803223e-01
9.400000e-01	-7.809690e-02	-1.079543e-18	1.806149e-01
9.500000e-01	-7.899169e-02	-1.838406e-17	1.809096e-01
9.600000e-01	-7.988856e-02	-9.072252e-19	1.812064e-01
9.700000e-01	-8.078755e-02	6.787593e-18	1.815053e-01
9.800000e-01	-8.168868e-02	1.443537e-17	1.818063e-01
9.900000e-01	-8.259197e-02	1.455414e-18	1.821095e-01
1.000000e+00	-8.349746e-02	-1.024992e-17	1.824147e-01
