# 2d Ising model
# L = 3
# method = exact
# beta 	 e 	 m 	 |m|
0.000000e+00	9.367507e-17	-3.469447e-18	2.734375e-01
1.000000e-02	-2.020350e-02	8.665762e-19	2.790299e-01
2.000000e-02	-4.082943e-02	-2.462976e-17	2.848807e-01
3.000000e-02	-6.190422e-02	2.881734e-17	2.910069e-01
4.000000e-02	-8.345901e-02	-8.546138e-18	2.974275e-01
5.000000e-02	-1.055299e-01	-1.694760e-18	3.041624e-01
6.000000e-02	-1.281583e-01	5.869635e-18	3.112334e-01
7.000000e-02	-1.513909e-01	3.312164e-18	3.186634e-01
8.000000e-02	-1.752800e-01	-4.895771e-18	3.264770e-01
9.000000e-02	-1.998836e-01	-4.813839e-18	3.346999e-01
1.000000e-01	-2.252646e-01	3.148431e-18	3.433592e-01
1.100000e-01	-2.514914e-01	-2.311218e-17	3.524828e-01
1.200000e-01	-2.786366e-01	0.000000e+00	3.620992e-01
1.300000e-01	-3.067764e-01	1.758475e-17	3.722372e-01
1.400000e-01	-3.359898e-01	-8.541773e-18	3.829254e-01
1.500000e-01	-3.663565e-01	2.206960e-17	3.941914e-01
1.600000e-01	-3.979557e-01	-1.066182e-17	4.060611e-01
1.700000e-01	-4.308637e-01	-5.135799e-18	4.185576e-01
1.800000e-01	-4.651510e-01	-4.932892e-18	4.317005e-01
1.900000e-01	-5.008795e-01	0.000000e+00	4.455043e-01
2.000000e-01	-5.380991e-01	-1.802963e-17	4.599774e-01
2.100000e-01	-5.768442e-01	-8.573780e-18	4.751207e-01
2.200000e-01	-6.171295e-01	-8.125371e-18	4.909261e-01
2.300000e-01	-6.589467e-01	-7.672016e-18	5.073753e-01
2.400000e-01	-7.022607e-01	1.443251e-17	5.244388e-01
2.500000e-01	-7.470069e-01	-1.352144e-17	5.420748e-01
2.600000e-01	-7.930885e-01	-1.261620e-17	5.602289e-01
2.700000e-01	-8.403756e-01	4.688880e-17	5.788338e-01
2.800000e-01	-8.887051e-01	0.000000e+00	5.978098e-01
2.900000e-01	-9.378821e-01	0.000000e+00	6.170662e-01
3.000000e-01	-9.876832e-01	1.831999e-17	6.365023e-01
3.100000e-01	-1.037860e+00	0.000000e+00	6.560099e-01
3.200000e-01	-1.088147e+00	0.000000e+00	6.754759e-01
3.300000e-01	-1.138266e+00	0.000000e+00	6.947852e-01
3.400000e-01	-1.187934e+00	0.000000e+00	7.138239e-01
3.500000e-01	-1.236875e+00	0.000000e+00	7.324823e-01
3.600000e-01	-1.284822e+00	0.000000e+00	7.506577e-01
3.700000e-01	-1.331528e+00	3.524208e-17	7.682575e-01
3.800000e-01	-1.376770e+00	0.000000e+00	7.852007e-01
3.900000e-01	-1.420355e+00	0.000000e+00	8.014196e-01
4.000000e-01	-1.462122e+00	0.000000e+00	8.168608e-01
4.100000e-01	-1.501947e+00	4.228767e-17	8.314853e-01
4.200000e-01	-1.539738e+00	0.000000e+00	8.452680e-01
4.300000e-01	-1.575437e+00	0.000000e+00	8.581973e-01
4.400000e-01	-1.609018e+00	0.000000e+00	8.702736e-01
4.500000e-01	-1.640483e+00	0.000000e+00	8.815080e-01
4.600000e-01	-1.669859e+00	0.000000e+00	8.919208e-01
4.700000e-01	-1.697195e+00	0.000000e+00	9.015393e-01
4.800000e-01	-1.722555e+00	0.000000e+00	9.103972e-01
