# 2d Ising model
# L = 8
# method = heatbath
# beta_min = 0.7
# beta_max = 1
# N_pts_beta = 1
# h_min = -0.3
# h_max = 0.3
# N_pts_h = 101
# Ntherm 10000
# Nac 100
# Number of datapoints 1000
# beta 	 e 	 m 	 |m| 	 msq 	 h 	 - 	 cV
7.000000e-01	-1.977375e+00	-9.940625e-01	9.940625e-01	9.883672e-01	-3.000000e-01		1.368470e-03
7.000000e-01	-1.974000e+00	-9.931250e-01	9.931250e-01	9.865488e-01	-2.940000e-01		1.632588e-03
7.000000e-01	-1.974250e+00	-9.931250e-01	9.931250e-01	9.865840e-01	-2.880000e-01		1.761427e-03
7.000000e-01	-1.975938e+00	-9.936563e-01	9.936563e-01	9.876143e-01	-2.820000e-01		1.655233e-03
7.000000e-01	-1.975812e+00	-9.936563e-01	9.936563e-01	9.875771e-01	-2.760000e-01		1.495325e-03
7.000000e-01	-1.975563e+00	-9.935312e-01	9.935312e-01	9.873701e-01	-2.700000e-01		1.734368e-03
7.000000e-01	-1.976750e+00	-9.939688e-01	9.939688e-01	9.881846e-01	-2.640000e-01		1.461609e-03
7.000000e-01	-1.976375e+00	-9.938438e-01	9.938438e-01	9.879482e-01	-2.580000e-01		1.518074e-03
7.000000e-01	-1.977750e+00	-9.940313e-01	9.940313e-01	9.883193e-01	-2.520000e-01		1.361404e-03
7.000000e-01	-1.976813e+00	-9.938438e-01	9.938438e-01	9.879775e-01	-2.460000e-01		1.637211e-03
7.000000e-01	-1.974875e+00	-9.932813e-01	9.932813e-01	9.868721e-01	-2.400000e-01		1.612399e-03
7.000000e-01	-1.973062e+00	-9.928750e-01	9.928750e-01	9.861230e-01	-2.340000e-01		2.088700e-03
7.000000e-01	-1.976250e+00	-9.938125e-01	9.938125e-01	9.878945e-01	-2.280000e-01		1.557281e-03
7.000000e-01	-1.974125e+00	-9.931875e-01	9.931875e-01	9.866777e-01	-2.220000e-01		1.677875e-03
7.000000e-01	-1.975500e+00	-9.935625e-01	9.935625e-01	9.874004e-01	-2.160000e-01		1.566346e-03
7.000000e-01	-1.973938e+00	-9.931250e-01	9.931250e-01	9.865820e-01	-2.100000e-01		1.835798e-03
7.000000e-01	-1.977375e+00	-9.941250e-01	9.941250e-01	9.884980e-01	-2.040000e-01		1.490970e-03
7.000000e-01	-1.971437e+00	-9.924375e-01	9.924375e-01	9.852227e-01	-1.980000e-01		1.841617e-03
7.000000e-01	-1.974500e+00	-9.933437e-01	9.933437e-01	9.869775e-01	-1.920000e-01		1.675831e-03
7.000000e-01	-1.971812e+00	-9.925625e-01	9.925625e-01	9.854688e-01	-1.860000e-01		1.825248e-03
7.000000e-01	-1.973250e+00	-9.930937e-01	9.930937e-01	9.864639e-01	-1.800000e-01		1.620859e-03
7.000000e-01	-1.974500e+00	-9.931875e-01	9.931875e-01	9.866934e-01	-1.740000e-01		1.752393e-03
7.000000e-01	-1.970750e+00	-9.922500e-01	9.922500e-01	9.848340e-01	-1.680000e-01		1.785774e-03
7.000000e-01	-1.972750e+00	-9.928750e-01	9.928750e-01	9.860625e-01	-1.620000e-01		1.772238e-03
7.000000e-01	-1.975437e+00	-9.934688e-01	9.934688e-01	9.872451e-01	-1.560000e-01		1.681602e-03
7.000000e-01	-1.970813e+00	-9.920625e-01	9.920625e-01	9.845312e-01	-1.500000e-01		1.969400e-03
7.000000e-01	-1.968750e+00	-9.917187e-01	9.917187e-01	9.838174e-01	-1.440000e-01		1.990625e-03
