# 2d Ising model
# L = 8
# method = heatbath
# beta_min = 0.7
# beta_max = 1
# N_pts_beta = 1
# h_min = 0.3
# h_max = -0.3
# N_pts_h = 101
# Ntherm 10000
# Nac 100
# Number of datapoints 1000
# beta 	 e 	 m 	 |m| 	 msq 	 h 	 - 	 cV
7.000000e-01	-1.978500e+00	9.944375e-01	9.944375e-01	9.891074e-01	3.000000e-01		1.408107e-03
7.000000e-01	-1.978875e+00	9.945312e-01	9.945312e-01	9.892881e-01	2.940000e-01		1.366174e-03
7.000000e-01	-1.975875e+00	9.936875e-01	9.936875e-01	9.876445e-01	2.880000e-01		1.548484e-03
7.000000e-01	-1.977812e+00	9.942500e-01	9.942500e-01	9.887383e-01	2.820000e-01		1.418272e-03
7.000000e-01	-1.978563e+00	9.944063e-01	9.944063e-01	9.890557e-01	2.760000e-01		1.434305e-03
7.000000e-01	-1.974625e+00	9.931875e-01	9.931875e-01	9.867148e-01	2.700000e-01		1.835900e-03
7.000000e-01	-1.975688e+00	9.937187e-01	9.937187e-01	9.876924e-01	2.640000e-01		1.488526e-03
7.000000e-01	-1.975250e+00	9.934375e-01	9.934375e-01	9.871758e-01	2.580000e-01		1.621563e-03
7.000000e-01	-1.976313e+00	9.938750e-01	9.938750e-01	9.880137e-01	2.520000e-01		1.541507e-03
7.000000e-01	-1.975437e+00	9.934375e-01	9.934375e-01	9.871973e-01	2.460000e-01		1.666289e-03
7.000000e-01	-1.976687e+00	9.939062e-01	9.939062e-01	9.880654e-01	2.400000e-01		1.450612e-03
7.000000e-01	-1.972250e+00	9.926875e-01	9.926875e-01	9.857051e-01	2.340000e-01		1.839154e-03
7.000000e-01	-1.977313e+00	9.940625e-01	9.940625e-01	9.883789e-01	2.280000e-01		1.445559e-03
7.000000e-01	-1.976875e+00	9.939062e-01	9.939062e-01	9.880771e-01	2.220000e-01		1.529527e-03
7.000000e-01	-1.974813e+00	9.935000e-01	9.935000e-01	9.872637e-01	2.160000e-01		1.559178e-03
7.000000e-01	-1.971375e+00	9.923125e-01	9.923125e-01	9.849980e-01	2.100000e-01		1.837952e-03
7.000000e-01	-1.976187e+00	9.938438e-01	9.938438e-01	9.879268e-01	2.040000e-01		1.416098e-03
7.000000e-01	-1.972875e+00	9.928125e-01	9.928125e-01	9.859512e-01	1.980000e-01		1.702834e-03
7.000000e-01	-1.973125e+00	9.928125e-01	9.928125e-01	9.859746e-01	1.920000e-01		1.732418e-03
7.000000e-01	-1.973437e+00	9.931250e-01	9.931250e-01	9.865312e-01	1.860000e-01		1.650640e-03
7.000000e-01	-1.972313e+00	9.928125e-01	9.928125e-01	9.859316e-01	1.800000e-01		1.724094e-03
7.000000e-01	-1.971125e+00	9.922500e-01	9.922500e-01	9.848750e-01	1.740000e-01		1.957236e-03
7.000000e-01	-1.971563e+00	9.921250e-01	9.921250e-01	9.846387e-01	1.680000e-01		1.856593e-03
7.000000e-01	-1.971375e+00	9.923437e-01	9.923437e-01	9.850459e-01	1.620000e-01		1.807327e-03
7.000000e-01	-1.972813e+00	9.927813e-01	9.927813e-01	9.859014e-01	1.560000e-01		1.798788e-03
7.000000e-01	-1.970813e+00	9.922188e-01	9.922188e-01	9.848018e-01	1.500000e-01		1.938775e-03
7.000000e-01	-1.972250e+00	9.926875e-01	9.926875e-01	9.857012e-01	1.440000e-01		1.827669e-03
7.000000e-01	-1.972375e+00	9.925938e-01	9.925938e-01	9.855283e-01	1.380000e-01		1.743014e-03
7.000000e-01	-1.972063e+00	9.925312e-01	9.925312e-01	9.854053e-01	1.320000e-01		1.763217e-03
7.000000e-01	-1.971188e+00	9.920000e-01	9.920000e-01	9.844297e-01	1.260000e-01		2.025995e-03
7.000000e-01	-1.966250e+00	9.908125e-01	9.908125e-01	9.821035e-01	1.200000e-01		2.224906e-03
7.000000e-01	-1.973812e+00	9.930000e-01	9.930000e-01	9.863379e-01	1.140000e-01		1.828770e-03
7.000000e-01	-1.965500e+00	9.907500e-01	9.907500e-01	9.819395e-01	1.080000e-01		2.230449e-03
