# 2d Ising model
# L = 32
# method = heatbath
# beta_min = 0.7
# beta_max = 1
# N_pts_beta = 1
# h_min = 0.3
# h_max = -0.3
# N_pts_h = 101
# Ntherm 10000
# Nac 100
# Number of datapoints 1000
# beta 	 e 	 m 	 |m| 	 msq 	 h 	 - 	 cV
7.000000e-01	-1.978629e+00	9.944316e-01	9.944316e-01	9.889067e-01	3.000000e-01		8.322552e-05
7.000000e-01	-1.977340e+00	9.940781e-01	9.940781e-01	9.882043e-01	2.940000e-01		8.635262e-05
7.000000e-01	-1.977855e+00	9.942148e-01	9.942148e-01	9.884762e-01	2.880000e-01		8.747444e-05
7.000000e-01	-1.977426e+00	9.940762e-01	9.940762e-01	9.882031e-01	2.820000e-01		1.021792e-04
7.000000e-01	-1.978023e+00	9.942480e-01	9.942480e-01	9.885427e-01	2.760000e-01		9.011140e-05
7.000000e-01	-1.977297e+00	9.940430e-01	9.940430e-01	9.881360e-01	2.700000e-01		9.608187e-05
7.000000e-01	-1.976223e+00	9.937168e-01	9.937168e-01	9.874880e-01	2.640000e-01		9.481661e-05
7.000000e-01	-1.976297e+00	9.937793e-01	9.937793e-01	9.876121e-01	2.580000e-01		9.643119e-05
7.000000e-01	-1.976102e+00	9.937187e-01	9.937187e-01	9.874915e-01	2.520000e-01		9.522518e-05
7.000000e-01	-1.976133e+00	9.937109e-01	9.937109e-01	9.874773e-01	2.460000e-01		1.023268e-04
7.000000e-01	-1.976672e+00	9.938535e-01	9.938535e-01	9.877586e-01	2.400000e-01		9.061303e-05
7.000000e-01	-1.975133e+00	9.934180e-01	9.934180e-01	9.868948e-01	2.340000e-01		9.833529e-05
7.000000e-01	-1.975055e+00	9.934414e-01	9.934414e-01	9.869430e-01	2.280000e-01		1.108437e-04
7.000000e-01	-1.974496e+00	9.932617e-01	9.932617e-01	9.865858e-01	2.220000e-01		1.097383e-04
7.000000e-01	-1.974848e+00	9.933574e-01	9.933574e-01	9.867742e-01	2.160000e-01		9.923426e-05
7.000000e-01	-1.975570e+00	9.935664e-01	9.935664e-01	9.871896e-01	2.100000e-01		1.002751e-04
7.000000e-01	-1.975094e+00	9.934043e-01	9.934043e-01	9.868691e-01	2.040000e-01		1.067136e-04
7.000000e-01	-1.973309e+00	9.929141e-01	9.929141e-01	9.858949e-01	1.980000e-01		1.055958e-04
7.000000e-01	-1.973055e+00	9.928770e-01	9.928770e-01	9.858212e-01	1.920000e-01		1.073938e-04
7.000000e-01	-1.974090e+00	9.931445e-01	9.931445e-01	9.863526e-01	1.860000e-01		1.064421e-04
7.000000e-01	-1.973180e+00	9.929258e-01	9.929258e-01	9.859175e-01	1.800000e-01		1.039728e-04
7.000000e-01	-1.973504e+00	9.929668e-01	9.929668e-01	9.859986e-01	1.740000e-01		9.875300e-05
7.000000e-01	-1.972551e+00	9.927402e-01	9.927402e-01	9.855509e-01	1.680000e-01		1.130065e-04
7.000000e-01	-1.972340e+00	9.926563e-01	9.926563e-01	9.853843e-01	1.620000e-01		1.143237e-04
7.000000e-01	-1.973555e+00	9.930137e-01	9.930137e-01	9.860938e-01	1.560000e-01		1.116669e-04
7.000000e-01	-1.972602e+00	9.926992e-01	9.926992e-01	9.854704e-01	1.500000e-01		1.128983e-04
7.000000e-01	-1.971363e+00	9.923672e-01	9.923672e-01	9.848120e-01	1.440000e-01		1.186677e-04
7.000000e-01	-1.971090e+00	9.923320e-01	9.923320e-01	9.847410e-01	1.380000e-01		1.129013e-04
7.000000e-01	-1.971602e+00	9.924297e-01	9.924297e-01	9.849359e-01	1.320000e-01		1.193680e-04
7.000000e-01	-1.970500e+00	9.920937e-01	9.920937e-01	9.842715e-01	1.260000e-01		1.266518e-04
7.000000e-01	-1.969836e+00	9.919707e-01	9.919707e-01	9.840248e-01	1.200000e-01		1.192604e-04
7.000000e-01	-1.970129e+00	9.920020e-01	9.920020e-01	9.840878e-01	1.140000e-01		1.193328e-04
7.000000e-01	-1.969379e+00	9.918164e-01	9.918164e-01	9.837200e-01	1.080000e-01		1.269194e-04
7.000000e-01	-1.970125e+00	9.919902e-01	9.919902e-01	9.840640e-01	1.020000e-01		1.193605e-04
7.000000e-01	-1.969816e+00	9.919512e-01	9.919512e-01	9.839873e-01	9.600000e-02		1.241933e-04
7.000000e-01	-1.967801e+00	9.913457e-01	9.913457e-01	9.827889e-01	9.000000e-02		1.355093e-04
7.000000e-01	-1.967871e+00	9.913984e-01	9.913984e-01	9.828932e-01	8.400000e-02		1.344059e-04
7.000000e-01	-1.969316e+00	9.917031e-01	9.917031e-01	9.834975e-01	7.800000e-02		1.319355e-04
7.000000e-01	-1.967840e+00	9.913750e-01	9.913750e-01	9.828463e-01	7.200000e-02		1.335710e-04
7.000000e-01	-1.967516e+00	9.912109e-01	9.912109e-01	9.825227e-01	6.600000e-02		1.393388e-04
7.000000e-01	-1.967527e+00	9.912520e-01	9.912520e-01	9.826043e-01	6.000000e-02		1.423960e-04
7.000000e-01	-1.967262e+00	9.911797e-01	9.911797e-01	9.824596e-01	5.400000e-02		1.324878e-04
7.000000e-01	-1.967848e+00	9.913730e-01	9.913730e-01	9.828415e-01	4.800000e-02		1.266095e-04
7.000000e-01	-1.967129e+00	9.911582e-01	9.911582e-01	9.824193e-01	4.200000e-02		1.489587e-04
7.000000e-01	-1.965777e+00	9.907051e-01	9.907051e-01	9.815217e-01	3.600000e-02		1.466492e-04
7.000000e-01	-1.964359e+00	9.903379e-01	9.903379e-01	9.807955e-01	3.000000e-02		1.526362e-04
7.000000e-01	-1.965793e+00	9.907617e-01	9.907617e-01	9.816318e-01	2.400000e-02		1.361672e-04
7.000000e-01	-1.964637e+00	9.903926e-01	9.903926e-01	9.809034e-01	1.800000e-02		1.498815e-04
7.000000e-01	-1.963949e+00	9.902383e-01	9.902383e-01	9.805996e-01	1.200000e-02		1.573760e-04
7.000000e-01	-1.964000e+00	9.901836e-01	9.901836e-01	9.804927e-01	6.000000e-03		1.588772e-04
7.000000e-01	-1.963387e+00	9.900449e-01	9.900449e-01	9.802165e-01	0.000000e+00		1.523913e-04
7.000000e-01	-1.963059e+00	9.900547e-01	9.900547e-01	9.802325e-01	-6.000000e-03		1.443783e-04
7.000000e-01	-1.962883e+00	9.898828e-01	9.898828e-01	9.798965e-01	-1.200000e-02		1.618878e-04
7.000000e-01	-1.962973e+00	9.899004e-01	9.899004e-01	9.799313e-01	-1.800000e-02		1.533610e-04
7.000000e-01	-1.962758e+00	9.898438e-01	9.898438e-01	9.798190e-01	-2.400000e-02		1.604436e-04
7.000000e-01	-1.962055e+00	9.896934e-01	9.896934e-01	9.795194e-01	-3.000000e-02		1.530368e-04
7.000000e-01	-1.961676e+00	9.895312e-01	9.895312e-01	9.792008e-01	-3.600000e-02		1.617478e-04
7.000000e-01	-1.961047e+00	9.894141e-01	9.894141e-01	9.789680e-01	-4.200000e-02		1.608950e-04
7.000000e-01	-1.960508e+00	9.892109e-01	9.892109e-01	9.785667e-01	-4.800000e-02		1.621861e-04
7.000000e-01	-1.959602e+00	9.889238e-01	9.889238e-01	9.780014e-01	-5.400000e-02		1.744566e-04
7.000000e-01	-1.959527e+00	9.888555e-01	9.888555e-01	9.778673e-01	-6.000000e-02		1.774895e-04
7.000000e-01	-1.960051e+00	9.889434e-01	9.889434e-01	9.780435e-01	-6.600000e-02		1.856900e-04
7.000000e-01	-1.958020e+00	9.884277e-01	9.884277e-01	9.770242e-01	-7.200000e-02		1.873313e-04
7.000000e-01	-1.958250e+00	9.884395e-01	9.884395e-01	9.770494e-01	-7.800000e-02		1.941626e-04
7.000000e-01	-1.957844e+00	9.883086e-01	9.883086e-01	9.767915e-01	-8.400000e-02		1.938791e-04
7.000000e-01	-1.958562e+00	9.885664e-01	9.885664e-01	9.772965e-01	-9.000000e-02		1.778757e-04
7.000000e-01	-1.956531e+00	9.879570e-01	9.879570e-01	9.760976e-01	-9.600000e-02		1.948128e-04
7.000000e-01	-1.955160e+00	9.875742e-01	9.875742e-01	9.753397e-01	-1.020000e-01		1.914329e-04
7.000000e-01	-1.956332e+00	9.878398e-01	9.878398e-01	9.758657e-01	-1.080000e-01		1.887666e-04
7.000000e-01	-1.954332e+00	9.872012e-01	9.872012e-01	9.746081e-01	-1.140000e-01		2.073582e-04
7.000000e-01	-1.954770e+00	9.872266e-01	9.872266e-01	9.746638e-01	-1.200000e-01		2.067169e-04
7.000000e-01	-1.954301e+00	9.872168e-01	9.872168e-01	9.746367e-01	-1.260000e-01		2.030581e-04
7.000000e-01	-1.953156e+00	9.868047e-01	9.868047e-01	9.738289e-01	-1.320000e-01		2.134324e-04
7.000000e-01	-1.953727e+00	9.870098e-01	9.870098e-01	9.742339e-01	-1.380000e-01		2.199997e-04
7.000000e-01	-1.953313e+00	9.867891e-01	9.867891e-01	9.737994e-01	-1.440000e-01		2.158681e-04
7.000000e-01	-1.951492e+00	9.863008e-01	9.863008e-01	9.728366e-01	-1.500000e-01		2.300709e-04
7.000000e-01	-1.951477e+00	9.862246e-01	9.862246e-01	9.726873e-01	-1.560000e-01		2.218213e-04
7.000000e-01	-1.951492e+00	9.861738e-01	9.861738e-01	9.725951e-01	-1.620000e-01		2.162537e-04
7.000000e-01	-1.954125e+00	6.133125e-01	9.864766e-01	9.734149e-01	-1.680000e-01		2.509401e-04
7.000000e-01	-1.973762e+00	-9.930547e-01	9.930547e-01	9.861733e-01	-1.740000e-01		1.013923e-04
7.000000e-01	-1.973145e+00	-9.928926e-01	9.928926e-01	9.858529e-01	-1.800000e-01		1.103530e-04
7.000000e-01	-1.974438e+00	-9.932598e-01	9.932598e-01	9.865822e-01	-1.860000e-01		1.110610e-04
7.000000e-01	-1.973672e+00	-9.930371e-01	9.930371e-01	9.861398e-01	-1.920000e-01		1.086559e-04
7.000000e-01	-1.974293e+00	-9.932129e-01	9.932129e-01	9.864875e-01	-1.980000e-01		1.007682e-04
7.000000e-01	-1.974156e+00	-9.931855e-01	9.931855e-01	9.864327e-01	-2.040000e-01		9.784556e-05
7.000000e-01	-1.975066e+00	-9.934160e-01	9.934160e-01	9.868908e-01	-2.100000e-01		9.799335e-05
7.000000e-01	-1.973914e+00	-9.931094e-01	9.931094e-01	9.862838e-01	-2.160000e-01		1.112872e-04
7.000000e-01	-1.975508e+00	-9.935566e-01	9.935566e-01	9.871700e-01	-2.220000e-01		9.789458e-05
7.000000e-01	-1.975309e+00	-9.935273e-01	9.935273e-01	9.871117e-01	-2.280000e-01		1.002936e-04
7.000000e-01	-1.975152e+00	-9.934785e-01	9.934785e-01	9.870152e-01	-2.340000e-01		1.029757e-04
7.000000e-01	-1.975348e+00	-9.935000e-01	9.935000e-01	9.870570e-01	-2.400000e-01		9.625849e-05
7.000000e-01	-1.975359e+00	-9.935098e-01	9.935098e-01	9.870774e-01	-2.460000e-01		1.022613e-04
