# 2d Ising model
# L = 32
# method = heatbath
# beta_min = 0
# beta_max = 1
# N_pts_beta = 21
# h_min = 0.3
# h_max = -0.3
# N_pts_h = 21
# Ntherm 10000
# Nac 100
# Number of datapoints 1000
# beta 	 e 	 m 	 |m| 	 msq 	 h 	 - 	 cV
0.000000e+00	2.042969e-03	-2.015625e-03	2.569141e-02	1.045036e-03	3.000000e-01		0.000000e+00
0.000000e+00	-2.343750e-05	-1.953125e-05	2.458203e-02	9.542847e-04	2.700000e-01		0.000000e+00
0.000000e+00	-1.148437e-03	-9.609375e-04	2.620703e-02	1.054077e-03	2.400000e-01		0.000000e+00
0.000000e+00	-1.613281e-03	1.011719e-03	2.614844e-02	1.075806e-03	2.100000e-01		0.000000e+00
0.000000e+00	-3.320313e-04	1.382812e-03	2.534375e-02	1.000809e-03	1.800000e-01		0.000000e+00
0.000000e+00	-1.300781e-03	-1.275391e-03	2.483789e-02	9.670448e-04	1.500000e-01		0.000000e+00
0.000000e+00	1.394531e-03	-2.929687e-04	2.516797e-02	1.008652e-03	1.200000e-01		0.000000e+00
0.000000e+00	4.335938e-04	-3.359375e-04	2.522656e-02	9.645767e-04	9.000000e-02		0.000000e+00
0.000000e+00	2.343750e-05	-5.957031e-04	2.560352e-02	1.032467e-03	6.000000e-02		0.000000e+00
0.000000e+00	1.253906e-03	1.824219e-03	2.521484e-02	9.741974e-04	3.000000e-02		0.000000e+00
0.000000e+00	1.257813e-03	1.941406e-03	2.567578e-02	1.018150e-03	0.000000e+00		0.000000e+00
0.000000e+00	2.578125e-03	-1.621094e-03	2.497656e-02	9.943848e-04	-3.000000e-02		0.000000e+00
0.000000e+00	-2.695313e-04	-8.164062e-04	2.429687e-02	9.406357e-04	-6.000000e-02		0.000000e+00
0.000000e+00	-2.851562e-04	-5.761719e-04	2.422070e-02	9.521751e-04	-9.000000e-02		0.000000e+00
0.000000e+00	1.414062e-03	9.296875e-04	2.480859e-02	9.839325e-04	-1.200000e-01		0.000000e+00
0.000000e+00	2.210938e-03	5.136719e-04	2.469336e-02	9.722939e-04	-1.500000e-01		0.000000e+00
0.000000e+00	3.085938e-03	-5.156250e-04	2.552344e-02	1.012108e-03	-1.800000e-01		0.000000e+00
0.000000e+00	-6.093750e-04	-5.859375e-04	2.460937e-02	9.409790e-04	-2.100000e-01		0.000000e+00
0.000000e+00	3.632812e-04	1.953125e-05	2.552344e-02	1.024200e-03	-2.400000e-01		0.000000e+00
0.000000e+00	4.843750e-04	-3.007812e-04	2.502344e-02	9.638977e-04	-2.700000e-01		0.000000e+00
0.000000e+00	2.921875e-03	-3.964844e-04	2.582227e-02	1.050304e-03	-3.000000e-01		0.000000e+00

5.000000e-02	-1.024727e-01	1.990430e-02	3.241211e-02	1.641506e-03	3.000000e-01		5.000485e-06
5.000000e-02	-1.002539e-01	1.573633e-02	2.989258e-02	1.416103e-03	2.700000e-01		4.641372e-06
5.000000e-02	-1.007305e-01	1.512305e-02	2.980273e-02	1.344776e-03	2.400000e-01		5.067277e-06
5.000000e-02	-1.040313e-01	1.177539e-02	3.000586e-02	1.396442e-03	2.100000e-01		5.242255e-06
5.000000e-02	-1.001523e-01	9.898438e-03	2.896484e-02	1.345581e-03	1.800000e-01		5.004985e-06
5.000000e-02	-9.749219e-02	1.006445e-02	2.860352e-02	1.258862e-03	1.500000e-01		4.702768e-06
5.000000e-02	-9.980859e-02	9.505859e-03	2.934570e-02	1.312733e-03	1.200000e-01		4.786659e-06
5.000000e-02	-1.012813e-01	1.769531e-03	2.830859e-02	1.254013e-03	9.000000e-02		4.804948e-06
5.000000e-02	-9.651563e-02	5.177734e-03	2.723633e-02	1.208881e-03	6.000000e-02		5.564222e-06
5.000000e-02	-1.001875e-01	2.552734e-03	2.740430e-02	1.204639e-03	3.000000e-02		4.796680e-06
5.000000e-02	-1.008125e-01	1.542969e-04	2.845117e-02	1.249668e-03	0.000000e+00		4.572187e-06
5.000000e-02	-1.006523e-01	-1.699219e-03	2.865625e-02	1.265472e-03	-3.000000e-02		4.497631e-06
5.000000e-02	-9.917578e-02	-4.000000e-03	2.729297e-02	1.178818e-03	-6.000000e-02		4.813831e-06
5.000000e-02	-9.943750e-02	-7.048828e-03	2.783789e-02	1.227207e-03	-9.000000e-02		4.643633e-06
5.000000e-02	-1.010469e-01	-7.294922e-03	2.752148e-02	1.190533e-03	-1.200000e-01		4.648002e-06
5.000000e-02	-1.007031e-01	-8.689453e-03	2.889648e-02	1.294247e-03	-1.500000e-01		4.868149e-06
5.000000e-02	-1.030547e-01	-9.822266e-03	2.825586e-02	1.257534e-03	-1.800000e-01		4.720309e-06
5.000000e-02	-1.002773e-01	-1.435938e-02	2.930469e-02	1.332397e-03	-2.100000e-01		4.631682e-06
5.000000e-02	-1.017461e-01	-1.251172e-02	2.950000e-02	1.395424e-03	-2.400000e-01		5.105468e-06
5.000000e-02	-1.012109e-01	-1.561719e-02	3.003125e-02	1.413948e-03	-2.700000e-01		4.706646e-06
5.000000e-02	-1.014297e-01	-1.851758e-02	3.195508e-02	1.605747e-03	-3.000000e-01		5.149568e-06

1.000000e-01	-2.050820e-01	4.776367e-02	5.216211e-02	3.847561e-03	3.000000e-01		2.034729e-05
1.000000e-01	-2.076445e-01	4.370313e-02	4.789062e-02	3.321281e-03	2.700000e-01		2.005682e-05
1.000000e-01	-2.062969e-01	3.859375e-02	4.491797e-02	3.078224e-03	2.400000e-01		2.077891e-05
1.000000e-01	-2.045742e-01	3.194922e-02	4.154297e-02	2.631485e-03	2.100000e-01		2.170614e-05
1.000000e-01	-2.056094e-01	2.983203e-02	4.020312e-02	2.475327e-03	1.800000e-01		2.110222e-05
1.000000e-01	-2.046641e-01	2.548438e-02	3.695703e-02	2.081718e-03	1.500000e-01		2.055035e-05
1.000000e-01	-2.037617e-01	1.873828e-02	3.459766e-02	1.866432e-03	1.200000e-01		2.041968e-05
1.000000e-01	-2.054961e-01	1.486523e-02	3.320508e-02	1.746365e-03	9.000000e-02		1.886056e-05
1.000000e-01	-2.036680e-01	8.179687e-03	3.121094e-02	1.516441e-03	6.000000e-02		2.086970e-05
1.000000e-01	-2.057891e-01	4.751953e-03	3.255273e-02	1.676434e-03	3.000000e-02		2.117750e-05
1.000000e-01	-2.031797e-01	7.734375e-04	3.114844e-02	1.481171e-03	0.000000e+00		1.867795e-05
1.000000e-01	-2.014961e-01	-4.792969e-03	3.036328e-02	1.422340e-03	-3.000000e-02		2.154711e-05
1.000000e-01	-2.051289e-01	-9.703125e-03	3.301172e-02	1.722435e-03	-6.000000e-02		2.139127e-05
1.000000e-01	-2.047500e-01	-1.450586e-02	3.289648e-02	1.723164e-03	-9.000000e-02		1.956893e-05
1.000000e-01	-2.031055e-01	-1.855664e-02	3.525195e-02	1.917126e-03	-1.200000e-01		2.000564e-05
1.000000e-01	-2.028164e-01	-2.276367e-02	3.682617e-02	2.109493e-03	-1.500000e-01		1.972057e-05
1.000000e-01	-2.025781e-01	-2.781836e-02	3.843945e-02	2.278614e-03	-1.800000e-01		2.085822e-05
1.000000e-01	-2.058477e-01	-3.329688e-02	4.061328e-02	2.557487e-03	-2.100000e-01		1.993152e-05
1.000000e-01	-2.090195e-01	-3.701953e-02	4.420313e-02	2.880096e-03	-2.400000e-01		2.162078e-05
1.000000e-01	-2.059922e-01	-4.312109e-02	4.833984e-02	3.375206e-03	-2.700000e-01		2.206440e-05
1.000000e-01	-2.071016e-01	-4.684180e-02	5.152148e-02	3.738361e-03	-3.000000e-01		2.188136e-05

1.500000e-01	-3.234063e-01	9.373242e-02	9.436523e-02	1.075738e-02	3.000000e-01		5.206789e-05
1.500000e-01	-3.210391e-01	8.281250e-02	8.388281e-02	8.689232e-03	2.700000e-01		4.998210e-05
1.500000e-01	-3.198281e-01	7.488672e-02	7.604687e-02	7.537247e-03	2.400000e-01		5.122054e-05
1.500000e-01	-3.192344e-01	6.658594e-02	6.940625e-02	6.405350e-03	2.100000e-01		5.026033e-05
1.500000e-01	-3.147656e-01	5.530859e-02	6.056250e-02	5.252090e-03	1.800000e-01		5.224741e-05
1.500000e-01	-3.153398e-01	4.792383e-02	5.447070e-02	4.229725e-03	1.500000e-01		4.762933e-05
1.500000e-01	-3.129297e-01	3.827539e-02	4.764648e-02	3.398251e-03	1.200000e-01		5.050137e-05
1.500000e-01	-3.158906e-01	2.819922e-02	4.287891e-02	2.837677e-03	9.000000e-02		4.739110e-05
1.500000e-01	-3.129648e-01	1.805469e-02	3.964453e-02	2.434082e-03	6.000000e-02		4.886473e-05
1.500000e-01	-3.125469e-01	9.320313e-03	3.664063e-02	2.050667e-03	3.000000e-02		5.071902e-05
1.500000e-01	-3.096641e-01	-1.771484e-03	3.649023e-02	2.008228e-03	0.000000e+00		5.083337e-05
1.500000e-01	-3.125742e-01	-1.025391e-02	3.723828e-02	2.144302e-03	-3.000000e-02		4.973670e-05
1.500000e-01	-3.133633e-01	-1.724414e-02	3.747070e-02	2.215748e-03	-6.000000e-02		4.817579e-05
1.500000e-01	-3.140625e-01	-2.514062e-02	4.138281e-02	2.660042e-03	-9.000000e-02		5.093811e-05
1.500000e-01	-3.155547e-01	-3.774219e-02	4.900391e-02	3.528564e-03	-1.200000e-01		4.967141e-05
1.500000e-01	-3.135195e-01	-4.724609e-02	5.380469e-02	4.237740e-03	-1.500000e-01		5.174247e-05
1.500000e-01	-3.156992e-01	-5.261914e-02	5.730273e-02	4.708408e-03	-1.800000e-01		4.930535e-05
1.500000e-01	-3.169805e-01	-6.607813e-02	6.885938e-02	6.343613e-03	-2.100000e-01		5.217249e-05
1.500000e-01	-3.199102e-01	-7.373242e-02	7.504492e-02	7.381123e-03	-2.400000e-01		5.231497e-05
1.500000e-01	-3.203477e-01	-8.401758e-02	8.512305e-02	8.993618e-03	-2.700000e-01		5.331628e-05
1.500000e-01	-3.240664e-01	-9.442969e-02	9.524609e-02	1.105332e-02	-3.000000e-01		5.232908e-05

2.000000e-01	-4.622188e-01	1.663535e-01	1.664199e-01	3.031298e-02	3.000000e-01		1.085989e-04
2.000000e-01	-4.567813e-01	1.494219e-01	1.494609e-01	2.505027e-02	2.700000e-01		1.113647e-04
2.000000e-01	-4.515234e-01	1.356699e-01	1.357285e-01	2.111869e-02	2.400000e-01		1.011523e-04
2.000000e-01	-4.447969e-01	1.179453e-01	1.181836e-01	1.649921e-02	2.100000e-01		1.036149e-04
2.000000e-01	-4.435117e-01	1.059141e-01	1.067227e-01	1.391601e-02	1.800000e-01		1.069961e-04
2.000000e-01	-4.364453e-01	8.495313e-02	8.708594e-02	1.000845e-02	1.500000e-01		9.329047e-05
2.000000e-01	-4.349180e-01	6.733398e-02	7.220117e-02	7.302570e-03	1.200000e-01		9.793218e-05
2.000000e-01	-4.331758e-01	5.253125e-02	5.980078e-02	5.331200e-03	9.000000e-02		9.514011e-05
2.000000e-01	-4.294727e-01	3.733594e-02	5.305859e-02	4.377525e-03	6.000000e-02		9.380736e-05
2.000000e-01	-4.296758e-01	1.811133e-02	4.347461e-02	2.991207e-03	3.000000e-02		9.941101e-05
2.000000e-01	-4.297539e-01	-7.812500e-05	4.364844e-02	3.021950e-03	0.000000e+00		9.281171e-05
2.000000e-01	-4.289727e-01	-1.900586e-02	4.524414e-02	3.256313e-03	-3.000000e-02		8.936372e-05
2.000000e-01	-4.319375e-01	-3.429687e-02	4.846875e-02	3.612144e-03	-6.000000e-02		1.066090e-04
2.000000e-01	-4.322266e-01	-5.395313e-02	6.214844e-02	5.738998e-03	-9.000000e-02		9.820892e-05
2.000000e-01	-4.345742e-01	-6.658203e-02	7.176953e-02	7.335594e-03	-1.200000e-01		1.064844e-04
2.000000e-01	-4.396563e-01	-8.554492e-02	8.782617e-02	1.011622e-02	-1.500000e-01		1.010469e-04
2.000000e-01	-4.382539e-01	-9.908594e-02	1.000664e-01	1.250029e-02	-1.800000e-01		9.460556e-05
2.000000e-01	-4.467109e-01	-1.184434e-01	1.186973e-01	1.669715e-02	-2.100000e-01		9.962514e-05
2.000000e-01	-4.507695e-01	-1.350469e-01	1.353359e-01	2.097188e-02	-2.400000e-01		9.753259e-05
2.000000e-01	-4.546914e-01	-1.474473e-01	1.474668e-01	2.431247e-02	-2.700000e-01		1.084840e-04
2.000000e-01	-4.662109e-01	-1.661621e-01	1.661660e-01	3.035511e-02	-3.000000e-01		1.063889e-04

2.500000e-01	-6.545547e-01	2.993770e-01	2.993770e-01	9.323079e-02	3.000000e-01		2.614819e-04
2.500000e-01	-6.348359e-01	2.713340e-01	2.713340e-01	7.732547e-02	2.700000e-01		2.355649e-04
2.500000e-01	-6.216289e-01	2.438359e-01	2.438359e-01	6.333703e-02	2.400000e-01		2.272646e-04
2.500000e-01	-6.053633e-01	2.149297e-01	2.149336e-01	5.007335e-02	2.100000e-01		2.021659e-04
2.500000e-01	-5.971680e-01	1.913652e-01	1.914121e-01	4.047170e-02	1.800000e-01		2.041658e-04
2.500000e-01	-5.849570e-01	1.582148e-01	1.585352e-01	2.890257e-02	1.500000e-01		1.935482e-04
2.500000e-01	-5.738047e-01	1.280840e-01	1.296113e-01	2.054278e-02	1.200000e-01		1.912048e-04
2.500000e-01	-5.692891e-01	9.500586e-02	9.860352e-02	1.293898e-02	9.000000e-02		1.775888e-04
2.500000e-01	-5.611211e-01	5.959180e-02	7.279883e-02	7.771542e-03	6.000000e-02		1.653694e-04
2.500000e-01	-5.609609e-01	3.380273e-02	5.929102e-02	5.454121e-03	3.000000e-02		1.659572e-04
2.500000e-01	-5.579492e-01	-2.419922e-03	5.113477e-02	4.028530e-03	0.000000e+00		1.678865e-04
2.500000e-01	-5.594844e-01	-2.819141e-02	5.697266e-02	5.072578e-03	-3.000000e-02		1.628475e-04
