# 2d Ising model
# L = 8
# method = multihit
# beta_min = 0
# beta_max = 1
# N_pts_beta = 21
# h_min = 0
# h_max = 1
# N_pts_h = 1
# Ntherm 10000
# Nac 100
# Number of datapoints 2000
# beta 	 e 	 m 	 |m| 	 msq 	 accRate 	 Ntry 	 cV
0.000000e+00	-6.250000e-02	-9.375000e-02	9.375000e-02	8.789062e-03	1.000000e+00	100	0.000000e+00
5.000000e-02	-6.250000e-02	-9.375000e-02	9.375000e-02	8.789062e-03	9.067326e-01	100	0.000000e+00
1.000000e-01	-6.250000e-02	-9.375000e-02	9.375000e-02	8.789062e-03	8.106262e-01	100	0.000000e+00
1.500000e-01	6.250000e-02	-6.250000e-02	6.250000e-02	3.906250e-03	7.232107e-01	100	0.000000e+00
2.000000e-01	6.250000e-02	-6.250000e-02	6.250000e-02	3.906250e-03	6.066837e-01	100	0.000000e+00
2.500000e-01	-8.015625e-02	-7.132813e-02	7.132813e-02	5.285645e-03	5.282252e-01	99	4.948578e-05
3.000000e-01	2.500000e-01	-3.125000e-02	3.125000e-02	9.765625e-04	5.526716e-01	98	0.000000e+00
3.500000e-01	-3.750000e-01	1.250000e-01	1.250000e-01	1.562500e-02	5.741329e-01	100	0.000000e+00
4.000000e-01	1.250000e-01	-6.250000e-02	6.250000e-02	3.906250e-03	5.306797e-01	100	0.000000e+00
4.500000e-01	-5.290938e-01	1.021875e-02	2.056250e-01	6.774609e-02	5.089273e-01	4	1.211346e-02
5.000000e-01	-7.725937e-01	1.843750e-03	3.124062e-01	1.492822e-01	5.112087e-01	3	2.316779e-02
5.500000e-01	-1.118469e+00	-2.250000e-02	5.215625e-01	3.497441e-01	4.979205e-01	3	3.781673e-02
6.000000e-01	-1.495906e+00	2.268750e-02	7.599375e-01	6.326992e-01	4.591032e-01	3	4.118514e-02
6.500000e-01	-1.751094e+00	1.203125e-02	9.055313e-01	8.356211e-01	4.399972e-01	2	2.260407e-02
7.000000e-01	-1.871188e+00	1.278438e-01	9.572812e-01	9.214111e-01	4.469848e-01	2	1.257592e-02
7.500000e-01	-1.929031e+00	-7.028281e-01	9.781094e-01	9.585161e-01	4.547403e-01	2	7.079897e-03
8.000000e-01	-1.958719e+00	-9.884531e-01	9.884531e-01	9.776333e-01	4.667586e-01	2	3.960599e-03
8.500000e-01	-1.974313e+00	-9.928750e-01	9.928750e-01	9.861270e-01	4.775022e-01	2	2.639041e-03
9.000000e-01	-1.984875e+00	-9.958906e-01	9.958906e-01	9.919937e-01	4.829127e-01	2	1.893489e-03
9.500000e-01	-1.988375e+00	-9.968906e-01	9.968906e-01	9.939214e-01	4.905077e-01	2	1.436258e-03
1.000000e+00	-1.993094e+00	-9.981875e-01	9.981875e-01	9.964434e-01	4.925507e-01	2	8.956631e-04
