# 2d Ising model
# L = 8
# method = multihit
# beta_min = 0
# beta_max = 1
# N_pts_beta = 21
# h_min = 0
# h_max = 1
# N_pts_h = 1
# Ntherm = 10000
# Nac = 100
# Number of datapoints = 1000
# beta 	 e 	 m 	 |m| 	 msq 	 accRate 	 Ntry 	 cV
0.000000e+00	-6.250000e-02	-9.375000e-02	9.375000e-02	8.789062e-03	1.000000e+00	5	0.000000e+00

5.000000e-02	-9.518750e-02	2.062500e-03	1.107500e-01	1.949609e-02	9.252281e-01	5	7.905733e-05

1.000000e-01	-2.082500e-01	-3.437500e-03	1.275000e-01	2.502344e-02	8.501281e-01	5	3.296788e-04

1.500000e-01	-3.136875e-01	5.312500e-04	1.458437e-01	3.407910e-02	7.718219e-01	5	7.963452e-04

2.000000e-01	-4.295000e-01	6.093750e-03	1.696563e-01	4.485840e-02	6.927406e-01	5	1.604940e-03

2.500000e-01	-5.550000e-01	-1.071875e-02	2.092813e-01	6.615527e-02	6.076250e-01	5	2.685937e-03

3.000000e-01	-7.026250e-01	-1.262500e-02	2.720000e-01	1.085000e-01	5.207969e-01	5	4.911130e-03

3.500000e-01	-9.161250e-01	-1.381250e-02	3.898750e-01	2.137070e-01	4.131219e-01	5	9.822507e-03

4.000000e-01	-1.241188e+00	2.834375e-02	6.152813e-01	4.484053e-01	2.716562e-01	5	1.813070e-02

4.500000e-01	-1.547750e+00	-1.706250e-02	8.186250e-01	6.998516e-01	1.469125e-01	5	1.548358e-02

5.000000e-01	-1.737250e+00	-1.354687e-01	9.083438e-01	8.369736e-01	7.928125e-02	5	1.175819e-02

5.500000e-01	-1.849438e+00	-2.404063e-01	9.530938e-01	9.119814e-01	4.473750e-02	5	6.890996e-03

6.000000e-01	-1.916000e+00	-9.758438e-01	9.758438e-01	9.536904e-01	2.460625e-02	5	4.837027e-03

6.500000e-01	-1.943750e+00	-9.845312e-01	9.845312e-01	9.700107e-01	1.627500e-02	5	3.373398e-03

7.000000e-01	-1.964187e+00	-9.902188e-01	9.902188e-01	9.809541e-01	1.012812e-02	5	2.458941e-03

7.500000e-01	-1.977750e+00	-9.940313e-01	9.940313e-01	9.883428e-01	6.165625e-03	5	1.725434e-03

8.000000e-01	-1.980187e+00	-9.948125e-01	9.948125e-01	9.898535e-01	4.103125e-03	5	1.751278e-03

8.500000e-01	-1.989688e+00	-9.973437e-01	9.973437e-01	9.947881e-01	2.734375e-03	5	9.589353e-04

9.000000e-01	-1.994687e+00	-9.986250e-01	9.986250e-01	9.973027e-01	1.553125e-03	5	5.941318e-04

9.500000e-01	-1.995000e+00	-9.987500e-01	9.987500e-01	9.975410e-01	1.015625e-03	5	5.697031e-04

1.000000e+00	-1.997875e+00	-9.994375e-01	9.994375e-01	9.988965e-01	7.406250e-04	5	2.845469e-04

