# 2d Ising model
# L = 8
# method = multihit
# beta_min = 0
# beta_max = 1
# N_pts_beta = 21
# h_min = 0
# h_max = 1
# N_pts_h = 1
# Ntherm = 100000
# Nac = 100
# Number of datapoints = 10000
# beta 	 e 	 m 	 |m| 	 msq 	 accRate 	 Ntry 	 cV
0.000000e+00	-6.250000e-02	-9.375000e-02	9.375000e-02	8.789062e-03	1.000000e+00	1	0.000000e+00

5.000000e-02	-1.003250e-01	1.059375e-03	1.121469e-01	1.951650e-02	1.000000e+00	1	7.786263e-05

1.000000e-01	-2.034438e-01	9.937500e-04	1.244875e-01	2.452422e-02	1.000000e+00	1	3.360556e-04

1.500000e-01	-3.132500e-01	-2.281250e-04	1.450406e-01	3.259854e-02	1.000000e+00	1	7.823897e-04

2.000000e-01	-4.280563e-01	-3.190625e-03	1.695094e-01	4.459150e-02	1.000000e+00	1	1.503104e-03

2.500000e-01	-5.593063e-01	-4.093750e-04	2.088594e-01	6.664697e-02	1.000000e+00	1	2.636399e-03

3.000000e-01	-7.181312e-01	3.268750e-03	2.781375e-01	1.139271e-01	1.000000e+00	1	4.853708e-03

3.500000e-01	-9.213938e-01	1.981250e-03	3.971938e-01	2.157008e-01	1.000000e+00	1	9.426227e-03

4.000000e-01	-1.220800e+00	-4.337500e-03	6.026313e-01	4.316172e-01	1.000000e+00	1	1.717795e-02

4.500000e-01	-1.544975e+00	2.809375e-03	8.104031e-01	6.912546e-01	1.000000e+00	1	1.675638e-02

5.000000e-01	-1.744406e+00	-2.995937e-02	9.111781e-01	8.411511e-01	1.000000e+00	1	1.136845e-02

5.500000e-01	-1.851994e+00	-1.284219e-01	9.540344e-01	9.136702e-01	1.000000e+00	1	7.059833e-03

6.000000e-01	-1.909069e+00	-6.421406e-01	9.735969e-01	9.494222e-01	1.000000e+00	1	4.957827e-03

6.500000e-01	-1.944394e+00	-9.845969e-01	9.845969e-01	9.701454e-01	1.000000e+00	1	3.290770e-03

7.000000e-01	-1.964663e+00	-9.904469e-01	9.904469e-01	9.813927e-01	1.000000e+00	1	2.392430e-03

7.500000e-01	-1.976681e+00	-9.937906e-01	9.937906e-01	9.878653e-01	1.000000e+00	1	1.753190e-03

8.000000e-01	-1.984313e+00	-9.958500e-01	9.958500e-01	9.918793e-01	1.000000e+00	1	1.362997e-03

8.500000e-01	-1.990431e+00	-9.975281e-01	9.975281e-01	9.951476e-01	1.000000e+00	1	8.795884e-04

9.000000e-01	-1.992863e+00	-9.981531e-01	9.981531e-01	9.963788e-01	1.000000e+00	1	7.896182e-04

9.500000e-01	-1.995713e+00	-9.988969e-01	9.988969e-01	9.978341e-01	1.000000e+00	1	5.115132e-04

1.000000e+00	-1.997031e+00	-9.992469e-01	9.992469e-01	9.985190e-01	1.000000e+00	1	3.751709e-04

