# 2d Ising model
# L = 32
# method = multihit
# beta_min = 0
# beta_max = 1
# N_pts_beta = 21
# h_min = 0
# h_max = 1
# N_pts_h = 1
# Ntherm = 100000
# Nac = 100
# Number of datapoints = 10000
# beta 	 e 	 m 	 |m| 	 msq 	 accRate 	 Ntry 	 cV
0.000000e+00	-1.562500e-02	7.812500e-03	7.812500e-03	6.103516e-05	1.000000e+00	1	0.000000e+00

5.000000e-02	-9.964492e-02	-2.187500e-05	2.773984e-02	1.210788e-03	1.000000e+00	1	4.813962e-06

1.000000e-01	-2.031758e-01	-1.576172e-04	3.115996e-02	1.526108e-03	1.000000e+00	1	2.053083e-05

1.500000e-01	-3.112715e-01	8.619141e-04	3.609004e-02	2.056146e-03	1.000000e+00	1	4.820869e-05

2.000000e-01	-4.284949e-01	-5.626953e-04	4.262168e-02	2.861634e-03	1.000000e+00	1	9.427386e-05

2.500000e-01	-5.574102e-01	7.703125e-04	5.206836e-02	4.205300e-03	1.000000e+00	1	1.669092e-04

3.000000e-01	-7.044137e-01	1.146289e-03	6.709121e-02	7.055519e-03	1.000000e+00	1	2.800866e-04

3.500000e-01	-8.800484e-01	9.019531e-04	9.845430e-02	1.508039e-02	1.000000e+00	1	4.570611e-04

4.000000e-01	-1.107836e+00	2.069727e-03	2.014107e-01	6.053129e-02	1.000000e+00	1	8.421176e-04

4.500000e-01	-1.514163e+00	1.056311e-01	7.528529e-01	5.810485e-01	1.000000e+00	1	1.517748e-03

5.000000e-01	-1.745179e+00	-9.109701e-01	9.109701e-01	8.306455e-01	1.000000e+00	1	7.164543e-04

5.500000e-01	-1.851225e+00	9.540133e-01	9.540133e-01	9.103644e-01	1.000000e+00	1	4.486766e-04

6.000000e-01	-1.909225e+00	9.736855e-01	9.736855e-01	9.481597e-01	1.000000e+00	1	3.084522e-04

6.500000e-01	-1.943113e+00	-9.841721e-01	9.841721e-01	9.686432e-01	1.000000e+00	1	2.180295e-04

7.000000e-01	-1.963749e+00	9.901430e-01	9.901430e-01	9.804102e-01	1.000000e+00	1	1.547765e-04

7.500000e-01	-1.976645e+00	9.937861e-01	9.937861e-01	9.876267e-01	1.000000e+00	1	1.130584e-04

8.000000e-01	-1.984876e+00	9.960213e-01	9.960213e-01	9.920680e-01	1.000000e+00	1	8.187538e-05

8.500000e-01	-1.990149e+00	9.974406e-01	9.974406e-01	9.948937e-01	1.000000e+00	1	5.869784e-05

9.000000e-01	-1.993490e+00	9.983170e-01	9.983170e-01	9.966406e-01	1.000000e+00	1	4.303221e-05

9.500000e-01	-1.995670e+00	-9.988895e-01	9.988895e-01	9.977825e-01	1.000000e+00	1	3.098113e-05

1.000000e+00	-1.997162e+00	-9.992754e-01	9.992754e-01	9.985529e-01	1.000000e+00	1	2.287136e-05

