# 2d Ising model
# L = 2
# method = exact
# beta 	 e 	 m 	 |m|
0.000000e+00	0.000000e+00	0.000000e+00	3.750000e-01
1.000000e-02	-1.000067e-02	0.000000e+00	3.775252e-01
2.000000e-02	-2.000533e-02	1.387779e-17	3.801013e-01
3.000000e-02	-3.001800e-02	0.000000e+00	3.827296e-01
4.000000e-02	-4.004268e-02	1.387779e-17	3.854109e-01
5.000000e-02	-5.008338e-02	0.000000e+00	3.881464e-01
6.000000e-02	-6.014410e-02	0.000000e+00	3.909371e-01
7.000000e-02	-7.022889e-02	0.000000e+00	3.937842e-01
8.000000e-02	-8.034177e-02	-1.387779e-17	3.966889e-01
9.000000e-02	-9.048679e-02	0.000000e+00	3.996522e-01
1.000000e-01	-1.006680e-01	1.387779e-17	4.026753e-01
1.100000e-01	-1.108895e-01	0.000000e+00	4.057596e-01
1.200000e-01	-1.211553e-01	0.000000e+00	4.089061e-01
1.300000e-01	-1.314696e-01	-1.387779e-17	4.121163e-01
1.400000e-01	-1.418365e-01	-1.387779e-17	4.153912e-01
1.500000e-01	-1.522601e-01	0.000000e+00	4.187324e-01
1.600000e-01	-1.627447e-01	1.387779e-17	4.221410e-01
1.700000e-01	-1.732943e-01	1.387779e-17	4.256184e-01
1.800000e-01	-1.839133e-01	-1.387779e-17	4.291662e-01
1.900000e-01	-1.946058e-01	0.000000e+00	4.327856e-01
2.000000e-01	-2.053762e-01	0.000000e+00	4.364781e-01
2.100000e-01	-2.162287e-01	-1.387779e-17	4.402452e-01
2.200000e-01	-2.271677e-01	0.000000e+00	4.440884e-01
2.300000e-01	-2.381976e-01	1.387779e-17	4.480092e-01
2.400000e-01	-2.493228e-01	0.000000e+00	4.520093e-01
2.500000e-01	-2.605477e-01	0.000000e+00	4.560902e-01
2.600000e-01	-2.718768e-01	0.000000e+00	4.602535e-01
2.700000e-01	-2.833147e-01	-1.387779e-17	4.645009e-01
2.800000e-01	-2.948659e-01	0.000000e+00	4.688341e-01
2.900000e-01	-3.065350e-01	0.000000e+00	4.732548e-01
3.000000e-01	-3.183268e-01	-1.387779e-17	4.777649e-01
3.100000e-01	-3.302459e-01	0.000000e+00	4.823660e-01
3.200000e-01	-3.422971e-01	0.000000e+00	4.870601e-01
3.300000e-01	-3.544852e-01	0.000000e+00	4.918490e-01
3.400000e-01	-3.668152e-01	0.000000e+00	4.967347e-01
3.500000e-01	-3.792919e-01	0.000000e+00	5.017191e-01
3.600000e-01	-3.919202e-01	0.000000e+00	5.068042e-01
3.700000e-01	-4.047054e-01	0.000000e+00	5.119919e-01
3.800000e-01	-4.176524e-01	0.000000e+00	5.172845e-01
3.900000e-01	-4.307666e-01	0.000000e+00	5.226840e-01
4.000000e-01	-4.440530e-01	0.000000e+00	5.281926e-01
4.100000e-01	-4.575170e-01	0.000000e+00	5.338125e-01
4.200000e-01	-4.711641e-01	0.000000e+00	5.395459e-01
4.300000e-01	-4.849997e-01	0.000000e+00	5.453951e-01
4.400000e-01	-4.990292e-01	0.000000e+00	5.513625e-01
4.500000e-01	-5.132584e-01	0.000000e+00	5.574504e-01
4.600000e-01	-5.276928e-01	-2.775558e-17	5.636613e-01
4.700000e-01	-5.423384e-01	0.000000e+00	5.699977e-01
4.800000e-01	-5.572009e-01	0.000000e+00	5.764621e-01
4.900000e-01	-5.722863e-01	2.775558e-17	5.830570e-01
5.000000e-01	-5.876006e-01	2.775558e-17	5.897852e-01
5.100000e-01	-6.031500e-01	-2.775558e-17	5.966493e-01
5.200000e-01	-6.189406e-01	0.000000e+00	6.036521e-01
5.300000e-01	-6.349788e-01	0.000000e+00	6.107964e-01
5.400000e-01	-6.512710e-01	-2.775558e-17	6.180849e-01
5.500000e-01	-6.678237e-01	-2.775558e-17	6.255208e-01
5.600000e-01	-6.846436e-01	0.000000e+00	6.331068e-01
5.700000e-01	-7.017373e-01	0.000000e+00	6.408460e-01
5.800000e-01	-7.191118e-01	2.775558e-17	6.487417e-01
5.900000e-01	-7.367739e-01	0.000000e+00	6.567968e-01
